chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr2	100166548	100166803	+	ENSMUSG00000084209	processed_pseudogene	Gm13811
chr2	100192006	100238159	-	ENSMUSG00000137007	lncRNA	ENSMUSG00000137007
chr2	100237838	100238624	-	ENSMUSG00000082435	transcribed_processed_pseudogene	Gm13813
chr2	100290533	100291879	-	ENSMUSG00000094873	processed_pseudogene	Gm13812
chr2	100396686	100420808	-	ENSMUSG00000142749	lncRNA	ENSMUSG00000142749
chr2	100457042	100458388	-	ENSMUSG00000095203	processed_pseudogene	Gm13810
chr2	100991199	101024476	+	ENSMUSG00000124973	lncRNA	ENSMUSG00000124973
chr2	101243606	101291293	-	ENSMUSG00000123660	lncRNA	ENSMUSG00000123660
chr2	101380184	101386387	-	ENSMUSG00000122142	lncRNA	ENSMUSG00000122142
chr2	101391126	101479877	-	ENSMUSG00000027165	protein_coding	Iftap
chr2	101400969	101401179	+	ENSMUSG00000093614	processed_pseudogene	Gm20693
chr2	101452131	101452636	+	ENSMUSG00000122180	lncRNA	ENSMUSG00000122180
chr2	101454237	101454439	-	ENSMUSG00000122260	lncRNA	ENSMUSG00000122260
chr2	101455063	101462874	+	ENSMUSG00000032864	protein_coding	Rag2
chr2	101468627	101479846	-	ENSMUSG00000061311	protein_coding	Rag1
chr2	101480067	101480354	+	ENSMUSG00000122218	lncRNA	ENSMUSG00000122218
chr2	101494401	101498321	-	ENSMUSG00000137120	lncRNA	ENSMUSG00000137120
chr2	101508774	101532014	+	ENSMUSG00000027164	protein_coding	Traf6
chr2	101517840	101518493	-	ENSMUSG00000137816	lncRNA	ENSMUSG00000137816
chr2	101544630	101713372	-	ENSMUSG00000032841	protein_coding	Prr5l
chr2	101626736	101628489	+	ENSMUSG00000142770	lncRNA	ENSMUSG00000142770
chr2	101702500	101713601	+	ENSMUSG00000087465	lncRNA	Gm13905
chr2	101716592	101731991	+	ENSMUSG00000027163	protein_coding	Commd9
chr2	101736622	101740056	+	ENSMUSG00000142681	lncRNA	ENSMUSG00000142681
chr2	101780548	102016730	-	ENSMUSG00000048058	protein_coding	Ldlrad3
chr2	101869884	101897070	+	ENSMUSG00000085417	lncRNA	Gm13919
chr2	101887932	101891775	+	ENSMUSG00000085110	lncRNA	Gm13920
chr2	102004635	102005097	+	ENSMUSG00000082328	processed_pseudogene	Gm13921
chr2	102039757	102040724	-	ENSMUSG00000081774	processed_pseudogene	Gm13866
chr2	102053185	102054088	-	ENSMUSG00000137044	lncRNA	ENSMUSG00000137044
chr2	102072280	102078854	-	ENSMUSG00000142119	lncRNA	ENSMUSG00000142119
chr2	102130464	102238173	-	ENSMUSG00000027189	protein_coding	Trim44
chr2	102142259	102142552	-	ENSMUSG00000083306	processed_pseudogene	Gm13868
chr2	102168308	102204085	+	ENSMUSG00000142082	lncRNA	ENSMUSG00000142082
chr2	102238177	102242519	+	ENSMUSG00000142162	lncRNA	ENSMUSG00000142162
chr2	102279711	102282844	-	ENSMUSG00000075012	protein_coding	Fjx1
chr2	102380357	102473386	+	ENSMUSG00000027188	protein_coding	Pamr1
chr2	102489004	102621129	+	ENSMUSG00000005089	protein_coding	Slc1a2
chr2	102563448	102577123	-	ENSMUSG00000087185	lncRNA	Gm13872
chr2	102641486	102732010	-	ENSMUSG00000005087	protein_coding	Cd44
chr2	102728305	102728411	+	ENSMUSG00000119260	snRNA	Gm23731
chr2	102729767	102731819	+	ENSMUSG00000121264	lncRNA	Gm57471
chr2	102752791	102754485	-	ENSMUSG00000130526	lncRNA	ENSMUSG00000130526
chr2	102765825	102771893	-	ENSMUSG00000135759	lncRNA	ENSMUSG00000135759
chr2	102770713	102782298	+	ENSMUSG00000135724	lncRNA	ENSMUSG00000135724
chr2	102812781	102819485	-	ENSMUSG00000123849	lncRNA	ENSMUSG00000123849
chr2	102828929	102829299	+	ENSMUSG00000125462	lncRNA	ENSMUSG00000125462
chr2	102851420	102903858	-	ENSMUSG00000010914	protein_coding	Pdhx
chr2	102904020	102922989	+	ENSMUSG00000010911	protein_coding	Apip
chr2	102966910	102969588	-	ENSMUSG00000127706	lncRNA	ENSMUSG00000127706
chr2	102969407	103020667	+	ENSMUSG00000087032	lncRNA	Gm13874
chr2	103036552	103040702	-	ENSMUSG00000086957	lncRNA	Gm13869
chr2	103062883	103063309	-	ENSMUSG00000084385	processed_pseudogene	Gm13873
chr2	103093778	103133623	-	ENSMUSG00000012350	protein_coding	Ehf
chr2	103133775	103134679	+	ENSMUSG00000129128	lncRNA	ENSMUSG00000129128
chr2	103153309	103154100	+	ENSMUSG00000142249	lncRNA	ENSMUSG00000142249
chr2	103162265	103163975	+	ENSMUSG00000131080	lncRNA	ENSMUSG00000131080
chr2	103168664	103169990	+	ENSMUSG00000137117	lncRNA	ENSMUSG00000137117
chr2	103168946	103203109	-	ENSMUSG00000087278	lncRNA	A930006I01Rik
chr2	103191680	103195083	-	ENSMUSG00000102686	TEC	Gm37220
chr2	103194484	103198535	-	ENSMUSG00000131426	lncRNA	ENSMUSG00000131426
chr2	103207988	103220601	-	ENSMUSG00000070794	lncRNA	BC016548
chr2	103242033	103281334	+	ENSMUSG00000027186	protein_coding	Elf5
chr2	103284194	103315505	-	ENSMUSG00000027187	protein_coding	Cat
chr2	103290169	103291486	+	ENSMUSG00000136653	lncRNA	ENSMUSG00000136653
chr2	103357779	103377741	-	ENSMUSG00000136247	lncRNA	ENSMUSG00000136247
chr2	103377604	103378033	+	ENSMUSG00000081687	processed_pseudogene	Gm13996
chr2	103396655	103548768	+	ENSMUSG00000032724	protein_coding	Abtb2
chr2	103398877	103425752	-	ENSMUSG00000122597	lncRNA	ENSMUSG00000122597
chr2	103551601	103591615	-	ENSMUSG00000027185	protein_coding	Nat10
chr2	103591731	103606468	+	ENSMUSG00000134072	lncRNA	ENSMUSG00000134072
chr2	103593286	103627994	-	ENSMUSG00000027184	protein_coding	Caprin1
chr2	103626294	103626514	+	ENSMUSG00000134152	lncRNA	ENSMUSG00000134152
chr2	103627522	103690857	+	ENSMUSG00000134028	lncRNA	ENSMUSG00000134028
chr2	103634795	103640991	-	ENSMUSG00000086687	lncRNA	4930547E08Rik
chr2	103641231	103641962	-	ENSMUSG00000081348	processed_pseudogene	Gm13878
chr2	103649348	103649821	-	ENSMUSG00000081010	processed_pseudogene	Gm13880
chr2	103667446	103667862	-	ENSMUSG00000083495	processed_pseudogene	Gm13877
chr2	103669299	103669580	+	ENSMUSG00000081275	processed_pseudogene	Gm13875
chr2	103669454	103669549	+	ENSMUSG00002074920	miRNA	Gm56363
chr2	103673760	103674001	-	ENSMUSG00000082845	processed_pseudogene	Gm13879
chr2	103673763	103673858	-	ENSMUSG00002075518	miRNA	Gm56364
chr2	103695476	103773523	-	ENSMUSG00000131728	lncRNA	ENSMUSG00000131728
chr2	103718669	103718929	+	ENSMUSG00000083643	transcribed_processed_pseudogene	Gm13876
chr2	103718673	103720532	+	ENSMUSG00000131802	lncRNA	ENSMUSG00000131802
chr2	103729058	103781161	+	ENSMUSG00000120246	lncRNA	Lincred1
chr2	103788331	103812223	+	ENSMUSG00000032698	protein_coding	Lmo2
chr2	103797283	103913874	-	ENSMUSG00000046085	lncRNA	4931422A03Rik
chr2	103836985	103837096	-	ENSMUSG00000138645	lncRNA	ENSMUSG00000138645
chr2	103858066	103893585	+	ENSMUSG00000027180	protein_coding	Fbxo3
chr2	103871014	103871152	+	ENSMUSG00000087739	scaRNA	Gm24644
chr2	103896142	103921534	+	ENSMUSG00000068686	protein_coding	Cd59b
chr2	103897959	103899403	+	ENSMUSG00000138605	lncRNA	ENSMUSG00000138605
chr2	103926146	103945699	+	ENSMUSG00000032679	protein_coding	Cd59a
chr2	103953114	103955094	+	ENSMUSG00000032671	protein_coding	A930018P22Rik
chr2	103959350	103964767	+	ENSMUSG00000139071	lncRNA	ENSMUSG00000139071
chr2	103973418	104241358	-	ENSMUSG00000068373	protein_coding	D430041D05Rik
chr2	104058457	104058583	-	ENSMUSG00000089606	snoRNA	Gm22501
chr2	104087017	104106102	+	ENSMUSG00000087473	lncRNA	Gm13883
chr2	104120205	104120317	+	ENSMUSG00002076254	rRNA	Gm56374
chr2	104121919	104122920	+	ENSMUSG00000081721	processed_pseudogene	Gm13882
chr2	104189422	104193182	+	ENSMUSG00000124121	lncRNA	ENSMUSG00000124121
chr2	104244308	104302014	+	ENSMUSG00000142523	lncRNA	ENSMUSG00000142523
chr2	104256826	104324791	-	ENSMUSG00000027177	protein_coding	Hipk3
chr2	104259206	104259285	-	ENSMUSG00000084516	miRNA	Mir1902
chr2	104329293	104334512	-	ENSMUSG00000136802	lncRNA	ENSMUSG00000136802
chr2	104367782	104368804	+	ENSMUSG00000081447	processed_pseudogene	Gm13870
chr2	104387006	104387834	+	ENSMUSG00000082379	processed_pseudogene	Gm13884
chr2	104389483	104402779	+	ENSMUSG00000086454	lncRNA	Platr14
chr2	104398284	104403325	-	ENSMUSG00000139918	lncRNA	ENSMUSG00000139918
chr2	104409290	104409421	+	ENSMUSG00000118753	snoRNA	Gm22439
chr2	104413940	104414126	-	ENSMUSG00000082276	processed_pseudogene	Gm13885
chr2	104420868	104495774	+	ENSMUSG00000027176	protein_coding	Cstf3
chr2	104487633	104542514	-	ENSMUSG00000027175	protein_coding	Tcp11l1
chr2	104544271	104546724	-	ENSMUSG00000074997	protein_coding	Pin1rt1
chr2	104552129	104573223	-	ENSMUSG00000027173	protein_coding	Depdc7
chr2	104585140	104647105	-	ENSMUSG00000074994	protein_coding	Qser1
chr2	104647369	104657109	+	ENSMUSG00000120507	lncRNA	2310047K21Rik
chr2	104650524	104651706	+	ENSMUSG00000083856	processed_pseudogene	Gm13886
chr2	104661086	104680221	-	ENSMUSG00000027171	protein_coding	Prrg4
chr2	104698150	104848249	+	ENSMUSG00000045106	protein_coding	Ccdc73
chr2	104705547	104705890	+	ENSMUSG00000082934	processed_pseudogene	Gm13887
chr2	104830001	104847425	-	ENSMUSG00000027170	protein_coding	Eif3m
chr2	104848329	104902578	+	ENSMUSG00000141618	lncRNA	ENSMUSG00000141618
chr2	104862211	104862632	-	ENSMUSG00000083487	processed_pseudogene	Gm13888
chr2	104906883	104956913	-	ENSMUSG00000074987	lncRNA	Wt1os
chr2	104952137	104952396	-	ENSMUSG00002076399	misc_RNA	Gm56383
chr2	104952533	104952826	-	ENSMUSG00002076543	misc_RNA	Gm56384
chr2	104953407	104953528	-	ENSMUSG00002076199	misc_RNA	Gm56385
chr2	104955567	104955799	-	ENSMUSG00002075028	misc_RNA	Gm56386
chr2	104956874	105003961	+	ENSMUSG00000016458	protein_coding	Wt1
chr2	105054665	105210141	+	ENSMUSG00000055312	protein_coding	Them7
chr2	105216636	105229664	-	ENSMUSG00000005973	protein_coding	Rcn1
chr2	105256341	105259600	+	ENSMUSG00000125588	lncRNA	ENSMUSG00000125588
chr2	105306785	105379993	+	ENSMUSG00000086764	lncRNA	4930527A07Rik
chr2	105366414	105500863	-	ENSMUSG00000086029	lncRNA	Pax6os1
chr2	105367438	105367827	-	ENSMUSG00000081701	transcribed_processed_pseudogene	Gm13890
chr2	105384546	105385190	-	ENSMUSG00000080859	transcribed_processed_pseudogene	Rpl10-ps1
chr2	105442080	105451350	+	ENSMUSG00000131141	lncRNA	ENSMUSG00000131141
chr2	105488207	105491688	-	ENSMUSG00000102424	lncRNA	Paupar
chr2	105489884	105490943	+	ENSMUSG00000131176	lncRNA	ENSMUSG00000131176
chr2	105491123	105491909	+	ENSMUSG00000120389	lncRNA	Gm57419
chr2	105499245	105527709	+	ENSMUSG00000027168	protein_coding	Pax6
chr2	105531372	105734909	-	ENSMUSG00000027167	protein_coding	Elp4
chr2	105539344	105540443	+	ENSMUSG00000084870	lncRNA	Gm13954
chr2	105734983	105795903	+	ENSMUSG00000042670	protein_coding	Immp1l
chr2	105797054	105833894	-	ENSMUSG00000027166	protein_coding	Dnajc24
chr2	105823102	105823226	+	ENSMUSG00002076743	miRNA	Gm56410
chr2	105827377	105827492	+	ENSMUSG00002076573	rRNA	Gm56411
chr2	105833370	106236496	+	ENSMUSG00000121869	lncRNA	ENSMUSG00000121869
chr2	105845545	105845700	+	ENSMUSG00000083425	processed_pseudogene	Gm13992
chr2	105868563	106234411	+	ENSMUSG00000074981	transcribed_unitary_pseudogene	Dcdc5
chr2	105868808	105870841	-	ENSMUSG00000100156	lncRNA	Gm29053
chr2	105876166	105930231	-	ENSMUSG00000131061	lncRNA	ENSMUSG00000131061
chr2	106005714	106024790	-	ENSMUSG00000131102	lncRNA	ENSMUSG00000131102
chr2	106025033	106025738	-	ENSMUSG00000131225	lncRNA	ENSMUSG00000131225
chr2	106095652	106095921	+	ENSMUSG00000081258	processed_pseudogene	Gm14013
chr2	106258838	106259744	+	ENSMUSG00000130199	lncRNA	ENSMUSG00000130199
chr2	106269929	106273627	+	ENSMUSG00000143978	lncRNA	ENSMUSG00000143978
chr2	106294168	106353448	-	ENSMUSG00000087226	lncRNA	Gm14015
chr2	106405136	106411185	-	ENSMUSG00000087225	lncRNA	Gm14014
chr2	106453746	106481049	-	ENSMUSG00000085218	lncRNA	BB218582
chr2	106523614	106698701	+	ENSMUSG00000016386	protein_coding	Mpped2
chr2	106639680	106639803	+	ENSMUSG00000105886	scaRNA	Gm22813
chr2	106639681	106639803	+	ENSMUSG00002076583	scaRNA	Gm22813
chr2	106747116	106747583	+	ENSMUSG00000085530	processed_pseudogene	Gm13901
chr2	106756910	106757514	-	ENSMUSG00000084164	processed_pseudogene	Gm13902
chr2	106785548	106795583	+	ENSMUSG00000125495	lncRNA	ENSMUSG00000125495
chr2	106792872	106804769	-	ENSMUSG00000027122	protein_coding	Arl14ep
chr2	106804814	106808783	+	ENSMUSG00000130255	lncRNA	ENSMUSG00000130255
chr2	106831093	106831590	+	ENSMUSG00000081966	processed_pseudogene	Gm13900
chr2	106841283	106842119	+	ENSMUSG00000082066	processed_pseudogene	Gm13904
chr2	106886485	106890001	-	ENSMUSG00000027120	protein_coding	Fshb
chr2	106905356	106962116	+	ENSMUSG00000134948	lncRNA	ENSMUSG00000134948
chr2	106927551	106927820	-	ENSMUSG00000089408	ribozyme	Gm24885
chr2	106954113	106954305	-	ENSMUSG00000083181	unprocessed_pseudogene	Gm13903
chr2	107118607	107120917	-	ENSMUSG00000133731	lncRNA	ENSMUSG00000133731
chr2	107120984	107128847	+	ENSMUSG00000042604	protein_coding	Kcna4
chr2	107174232	107274834	+	ENSMUSG00000134623	lncRNA	ENSMUSG00000134623
chr2	107216880	107244887	+	ENSMUSG00000134663	lncRNA	ENSMUSG00000134663
chr2	107559633	107629248	+	ENSMUSG00000141362	lncRNA	ENSMUSG00000141362
chr2	107694302	107697128	+	ENSMUSG00000122300	lncRNA	ENSMUSG00000122300
chr2	107716853	107716984	-	ENSMUSG00000118714	snoRNA	Gm23439
chr2	107795323	107799463	+	ENSMUSG00000138583	lncRNA	ENSMUSG00000138583
chr2	107910257	107910387	-	ENSMUSG00000077411	snoRNA	Gm23749
chr2	108014061	108121664	-	ENSMUSG00000086758	lncRNA	Gm13912
chr2	108276802	108277429	-	ENSMUSG00000083590	processed_pseudogene	Gm13916
chr2	108300577	108303888	+	ENSMUSG00000122409	lncRNA	ENSMUSG00000122409
chr2	108402939	108403869	+	ENSMUSG00000082113	processed_pseudogene	Gm13915
chr2	108408475	108408734	-	ENSMUSG00000083347	processed_pseudogene	Gm13913
chr2	108563557	108564547	-	ENSMUSG00000083697	processed_pseudogene	Gm13914
chr2	108650294	108711491	+	ENSMUSG00000132570	lncRNA	ENSMUSG00000132570
chr2	108705271	108705603	-	ENSMUSG00000083424	processed_pseudogene	Rpl35a-ps4
chr2	108779151	108780578	+	ENSMUSG00000063684	processed_pseudogene	Hadhb-ps
chr2	108852894	108856139	+	ENSMUSG00000087544	lncRNA	Gm13923
chr2	108922642	109111093	-	ENSMUSG00000057234	protein_coding	Mettl15
chr2	108978934	108979043	-	ENSMUSG00002074908	miRNA	Gm56417
chr2	109111083	109172092	+	ENSMUSG00000027115	protein_coding	Kif18a
chr2	109288593	109289078	-	ENSMUSG00000084167	processed_pseudogene	Gm13924
chr2	109307348	109329545	+	ENSMUSG00000081746	unprocessed_pseudogene	Gm13925
chr2	109417616	109448852	-	ENSMUSG00000128026	lncRNA	ENSMUSG00000128026
chr2	109480366	109506936	-	ENSMUSG00000109604	lncRNA	Gm45346
chr2	109503511	109504438	+	ENSMUSG00000093410	lncRNA	Gm20638
chr2	109505045	109557352	+	ENSMUSG00000048482	protein_coding	Bdnf
chr2	109622270	109622879	-	ENSMUSG00000083915	processed_pseudogene	Gm13932
chr2	109676429	109721177	-	ENSMUSG00000136163	lncRNA	ENSMUSG00000136163
chr2	109721198	109731348	+	ENSMUSG00000027162	protein_coding	Lin7c
chr2	109732741	109743756	-	ENSMUSG00000063751	lncRNA	Platr8
chr2	109747992	109844602	+	ENSMUSG00000050199	protein_coding	Lgr4
chr2	109840495	109848105	-	ENSMUSG00000135227	lncRNA	ENSMUSG00000135227
chr2	109848162	110003705	+	ENSMUSG00000027160	protein_coding	Ccdc34
chr2	109861551	109880852	-	ENSMUSG00000086186	lncRNA	Ccdc34os
chr2	109876392	109963249	+	ENSMUSG00000138928	lncRNA	ENSMUSG00000138928
chr2	110002751	110004354	-	ENSMUSG00000139015	lncRNA	ENSMUSG00000139015
chr2	110027234	110086476	+	ENSMUSG00000085444	lncRNA	Gm13936
chr2	110039523	110040510	-	ENSMUSG00000082512	processed_pseudogene	Gm13937
chr2	110048348	110048454	+	ENSMUSG00000118908	snRNA	Gm22997
chr2	110093042	110144905	-	ENSMUSG00000041660	protein_coding	Bbox1
chr2	110132478	110222839	+	ENSMUSG00000133746	lncRNA	ENSMUSG00000133746
chr2	110191262	110193528	-	ENSMUSG00000074971	protein_coding	Fibin
chr2	110248515	110249964	-	ENSMUSG00000083320	processed_pseudogene	Gm13935
chr2	110427643	110478124	+	ENSMUSG00000041644	protein_coding	Slc5a12
chr2	110485546	110781268	-	ENSMUSG00000074968	protein_coding	Ano3
chr2	110551685	110569872	+	ENSMUSG00000050808	protein_coding	Muc15
chr2	110670345	110673723	+	ENSMUSG00000136875	lncRNA	ENSMUSG00000136875
chr2	110880755	111059948	-	ENSMUSG00000027157	protein_coding	Potefam1
chr2	111012980	111017751	+	ENSMUSG00000084094	processed_pseudogene	Gm13961
chr2	111060705	111065631	-	ENSMUSG00000074966	protein_coding	Or4f52
chr2	111076400	111138772	-	ENSMUSG00000084933	lncRNA	Gm13962
chr2	111084861	111092371	+	ENSMUSG00000063844	protein_coding	Or4f53
chr2	111095291	111104451	-	ENSMUSG00000074965	protein_coding	Or4k35
chr2	111120481	111129231	+	ENSMUSG00000068647	protein_coding	Or4f54
chr2	111130980	111139388	+	ENSMUSG00000109813	protein_coding	Or4g16
chr2	111144362	111156348	+	ENSMUSG00000109449	protein_coding	Or4k36
chr2	111156865	111163197	+	ENSMUSG00000095156	protein_coding	Or4k37
chr2	111165504	111166421	-	ENSMUSG00000096554	protein_coding	Or4k38
chr2	111197135	111200408	+	ENSMUSG00000109322	protein_coding	Or4k77
chr2	111205867	111210958	+	ENSMUSG00000108931	protein_coding	Or4g17
chr2	111236879	111239743	+	ENSMUSG00000121432	lncRNA	ENSMUSG00000121432
chr2	111238741	111239643	+	ENSMUSG00000109521	transcribed_unprocessed_pseudogene	Or4k39
chr2	111248187	111253460	-	ENSMUSG00000096703	protein_coding	Or4k40
chr2	111279487	111280404	+	ENSMUSG00000095586	protein_coding	Or4k41
chr2	111304446	111310339	+	ENSMUSG00000044039	protein_coding	Or4g7
chr2	111311164	111314960	+	ENSMUSG00000061195	protein_coding	Or4f4b
chr2	111317873	111324174	-	ENSMUSG00000095809	protein_coding	Or4k42
chr2	111327525	111334898	+	ENSMUSG00000108891	protein_coding	Or4f4-ps1
chr2	111338918	111339856	-	ENSMUSG00000094074	unprocessed_pseudogene	Or4k43-ps1
chr2	111355548	111363624	+	ENSMUSG00000108908	protein_coding	Or4f17-ps1
chr2	111358759	111358883	+	ENSMUSG00000109287	unprocessed_pseudogene	Gm44713
chr2	111366875	111370636	-	ENSMUSG00000109547	protein_coding	Or4k44
chr2	111391768	111400026	-	ENSMUSG00000108919	protein_coding	Or4k45
chr2	111423418	111424356	-	ENSMUSG00000096690	unprocessed_pseudogene	Or4k46-ps1
chr2	111445578	111456842	-	ENSMUSG00000094858	protein_coding	Or4k47
chr2	111474843	111479546	-	ENSMUSG00000109487	protein_coding	Or4k48
chr2	111491764	111496159	+	ENSMUSG00000109219	protein_coding	Or4k49
chr2	111491801	111535806	+	ENSMUSG00000109071	lncRNA	Gm44840
chr2	111497782	111523664	+	ENSMUSG00000109389	protein_coding	Or4k50-ps1
chr2	111529068	111529223	-	ENSMUSG00000082091	processed_pseudogene	Gm13922
chr2	111534371	111536124	-	ENSMUSG00000135116	lncRNA	ENSMUSG00000135116
chr2	111570450	111571179	+	ENSMUSG00000084134	processed_pseudogene	Gm13930
chr2	111581351	111589197	+	ENSMUSG00000057149	protein_coding	Or4k51
chr2	111607774	111613045	+	ENSMUSG00000044560	protein_coding	Or4k52
chr2	111642592	111650685	-	ENSMUSG00000093804	protein_coding	Or4f7
chr2	111653573	111653761	-	ENSMUSG00000109423	unprocessed_pseudogene	Olfr1304-ps1
chr2	111655524	111655655	+	ENSMUSG00000119226	snoRNA	Gm26421
chr2	111674607	111682183	-	ENSMUSG00000083059	unprocessed_pseudogene	Or4f7d-ps1
chr2	111698002	111707494	-	ENSMUSG00000074955	protein_coding	Or4f56
chr2	111741609	111746616	-	ENSMUSG00000096566	protein_coding	Or4f14
chr2	111756604	111758335	+	ENSMUSG00000081069	processed_pseudogene	Gm13928
chr2	111760461	111779785	-	ENSMUSG00000094747	protein_coding	Or4f14b
chr2	111789630	111795289	-	ENSMUSG00000074952	protein_coding	Or4f57
chr2	111810202	111820626	-	ENSMUSG00000109528	protein_coding	Or4f15
chr2	111830525	111831649	+	ENSMUSG00000081037	transcribed_processed_pseudogene	Gm13929
chr2	111834919	111843053	-	ENSMUSG00000108827	protein_coding	Or4f6
chr2	111850001	111854757	-	ENSMUSG00000109403	protein_coding	Or4f58
chr2	111868413	111880583	-	ENSMUSG00000074947	protein_coding	Or4f59
chr2	111900433	111908188	-	ENSMUSG00000074946	protein_coding	Or4f60
chr2	111920131	111927126	-	ENSMUSG00000074945	protein_coding	Or4f61
chr2	111940402	111945785	-	ENSMUSG00000109033	protein_coding	Or4f14c
chr2	111957341	111965322	-	ENSMUSG00000109801	protein_coding	Or4f14d
chr2	111970674	111974399	+	ENSMUSG00000050776	protein_coding	Or4f47
chr2	111984543	111989502	+	ENSMUSG00000049758	protein_coding	Or4f62
chr2	111998069	111998342	+	ENSMUSG00000109522	unprocessed_pseudogene	Olfr1319-ps1
chr2	112069813	112077456	+	ENSMUSG00000027134	protein_coding	Lpcat4
chr2	112078293	112089636	-	ENSMUSG00000041358	protein_coding	Nutm1
chr2	112092271	112093614	+	ENSMUSG00000027133	protein_coding	Nop10
chr2	112096170	112193508	+	ENSMUSG00000027130	protein_coding	Slc12a6
chr2	112096659	112236664	+	ENSMUSG00000096764	protein_coding	Gm21985
chr2	112193356	112198372	-	ENSMUSG00000027131	protein_coding	Emc4
chr2	112198379	112199857	+	ENSMUSG00000121215	lncRNA	Gm57464
chr2	112209556	112244585	+	ENSMUSG00000027132	protein_coding	Katnbl1
chr2	112219542	112219842	-	ENSMUSG00000081541	processed_pseudogene	Gm13940
chr2	112261283	112279451	+	ENSMUSG00000131076	lncRNA	ENSMUSG00000131076
chr2	112280092	112285317	-	ENSMUSG00000127633	lncRNA	ENSMUSG00000127633
chr2	112285342	112302507	+	ENSMUSG00000055943	protein_coding	Emc7
chr2	112299598	112299711	-	ENSMUSG00002075416	rRNA	Gm56444
chr2	112309516	112311114	-	ENSMUSG00000074939	protein_coding	Chrm5
chr2	112323309	112464918	+	ENSMUSG00000003604	protein_coding	Aven
chr2	112331214	112331342	+	ENSMUSG00000080622	snoRNA	Gm22676
chr2	112444375	112444514	+	ENSMUSG00002074904	miRNA	Gm56445
chr2	112448741	112449117	+	ENSMUSG00000136625	lncRNA	ENSMUSG00000136625
chr2	112461700	113047441	-	ENSMUSG00000057378	protein_coding	Ryr3
chr2	112489898	112497347	+	ENSMUSG00000137610	lncRNA	ENSMUSG00000137610
chr2	113116077	113127535	+	ENSMUSG00000041255	protein_coding	Tmco5b
chr2	113118618	113118783	+	ENSMUSG00000093660	snRNA	Gm26505
chr2	113125660	113127148	-	ENSMUSG00000126657	lncRNA	ENSMUSG00000126657
chr2	113150799	113178367	-	ENSMUSG00000125686	lncRNA	ENSMUSG00000125686
chr2	113158081	113547112	+	ENSMUSG00000044042	protein_coding	Fmn1
chr2	113215026	113215544	+	ENSMUSG00000084391	processed_pseudogene	Gm13967
chr2	113217452	113271439	-	ENSMUSG00000085448	lncRNA	Gm13963
chr2	113271026	113272649	-	ENSMUSG00000087545	lncRNA	Gm13966
chr2	113307053	113307166	-	ENSMUSG00002075162	miRNA	Gm56452
chr2	113331015	113385957	-	ENSMUSG00000087106	lncRNA	Gm13964
chr2	113467914	113515380	-	ENSMUSG00000132543	lncRNA	ENSMUSG00000132543
chr2	113521366	113538908	-	ENSMUSG00000084798	lncRNA	4930533B01Rik
chr2	113576509	113588991	-	ENSMUSG00000074934	protein_coding	Grem1
chr2	113606707	113659466	-	ENSMUSG00000023236	protein_coding	Scg5
chr2	113661837	113679006	-	ENSMUSG00000041219	protein_coding	Arhgap11a
chr2	113679132	113696439	+	ENSMUSG00000136663	lncRNA	ENSMUSG00000136663
chr2	113724421	113753167	+	ENSMUSG00000131810	lncRNA	ENSMUSG00000131810
chr2	113750171	113751486	-	ENSMUSG00000096006	processed_pseudogene	Gm21596
chr2	113758374	113826992	+	ENSMUSG00000134108	lncRNA	ENSMUSG00000134108
chr2	113827634	113828989	+	ENSMUSG00000134142	lncRNA	ENSMUSG00000134142
chr2	113840082	113844100	-	ENSMUSG00000068615	protein_coding	Gjd2
chr2	113844044	113905863	+	ENSMUSG00000092201	lncRNA	Gjd2os
chr2	113844083	113862773	+	ENSMUSG00000087694	lncRNA	Gjd2os
chr2	113877763	113884029	-	ENSMUSG00000068614	protein_coding	Actc1
chr2	113884816	113895356	+	ENSMUSG00000092397	lncRNA	Actc1dt
chr2	113887509	113928359	-	ENSMUSG00000130795	lncRNA	ENSMUSG00000130795
chr2	113931651	114017505	-	ENSMUSG00000040383	protein_coding	Aqr
chr2	113933756	113977026	+	ENSMUSG00000130762	lncRNA	ENSMUSG00000130762
chr2	113980997	113981051	-	ENSMUSG00000098464	miRNA	Mir7002
chr2	114023942	114031950	-	ENSMUSG00000040321	protein_coding	Zfp770
chr2	114091242	114171664	-	ENSMUSG00000129101	lncRNA	ENSMUSG00000129101
chr2	114100592	114100909	+	ENSMUSG00002075961	misc_RNA	Gm56454
chr2	114102655	114103916	-	ENSMUSG00000101266	lncRNA	Gm29234
chr2	114120785	114243000	-	ENSMUSG00000129058	lncRNA	ENSMUSG00000129058
chr2	114242562	114287266	+	ENSMUSG00000129142	lncRNA	ENSMUSG00000129142
chr2	114346897	114485445	-	ENSMUSG00000057147	protein_coding	Dph6
chr2	114484906	114528320	+	ENSMUSG00000084785	lncRNA	Gm13972
chr2	114538593	114539374	+	ENSMUSG00000082997	processed_pseudogene	Gm13975
chr2	114684377	114874461	+	ENSMUSG00000085222	lncRNA	Gm13974
chr2	114728397	115051189	-	ENSMUSG00000101448	lncRNA	Gm28494
chr2	114769051	114770069	+	ENSMUSG00000099361	lncRNA	Gm28492
chr2	114866900	114867793	-	ENSMUSG00000084222	processed_pseudogene	Gm13973
